Run,RunSeed,RunMinDistance_DRAMPPI,RunMinDistance_DRMPPI,RunMinDistance_MPPI,RunMinDistance_RAMPPI,SafetyViolation_DRAMPPI,SafetyViolation_DRMPPI,SafetyViolation_MPPI,SafetyViolation_RAMPPI,Collision_DRAMPPI,Collision_DRMPPI,Collision_MPPI,Collision_RAMPPI,TotalQSigmaInvStageCost_DRAMPPI,TotalQSigmaInvStageCost_DRMPPI,TotalQSigmaInvStageCost_MPPI,TotalQSigmaInvStageCost_RAMPPI,RunMaxComputeTimeMs_DRAMPPI,RunMaxComputeTimeMs_DRMPPI,RunMaxComputeTimeMs_MPPI,RunMaxComputeTimeMs_RAMPPI,AllOthersCollided,DROnlyNoCollision,DRMinDistanceAdvantage
50,1198399760,0.3109046518802643,0.6784500479698181,0.237723246216774,0.6208154559135437,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.01943337544799,27.364660497754812,20.578538052737713,25.795367535203695,37.54335899793659,18.913408002845244,9.242255000572186,14.875074997689808,False,False,0.057634592056274414
51,1751866485,0.3607805371284485,0.5910102128982544,0.24646832048892975,0.665505051612854,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.45815791748464,27.104801123961806,20.526538932695985,26.47750613093376,52.816840001469245,18.83584299866925,9.024347997183213,14.852285999950254,False,False,-0.07449483871459961
52,1070889713,0.05253910645842552,0.5488174557685852,0.23192892968654633,0.602455735206604,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,27.393925931304693,26.73670468479395,20.385278053581715,27.24042664654553,57.38527699941187,19.26213499973528,29.818535997037543,28.662783002801007,False,False,-0.0536382794380188
53,415096539,0.3506874144077301,0.3536204695701599,0.24159058928489685,0.6350162625312805,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,25.824481362476945,27.08598629385233,20.586732901632786,27.01680776104331,83.51772199966945,19.667157001094893,18.07671099959407,18.653070997970644,False,False,-0.2813957929611206
54,52416235,0.298753023147583,0.6963592767715454,0.23879767954349518,0.5289933681488037,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.624114356935024,27.559760253876448,20.513999303802848,26.560433633625507,32.4973550013965,18.872791002650047,10.370316002081381,15.650197998184012,False,False,0.1673659086227417
55,278032723,0.0217699334025383,0.6737636923789978,0.22768673300743103,0.5685209035873413,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.38705270178616,26.14987519197166,20.452697582542896,25.846150562167168,41.771029002120486,18.96622300046147,12.388849998387741,16.095539001980796,False,False,0.1052427887916565
56,174946158,0.1402883678674698,0.7069593667984009,0.2211693525314331,0.6668975949287415,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.127722326666117,27.980241302400827,20.545399617403746,27.22225046157837,33.77075599928503,18.786406002618605,10.208374998910585,15.25625499925809,False,False,0.040061771869659424
57,196848554,0.48668375611305237,0.5869210958480835,0.2290726602077484,0.5923188924789429,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.394661221653223,27.921676399186254,20.46310074813664,28.50023173354566,50.7972690029419,19.46542999939993,11.540196999703767,15.484912000829354,False,False,-0.005397796630859375
58,263030910,0.09641782939434052,0.6134719252586365,0.23918257653713226,0.5419284701347351,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,27.98646076209843,27.116238737478852,20.448307491838932,26.088494071736932,30.64721899863798,19.59627399992314,9.258104997570626,19.051953000598587,False,False,0.07154345512390137
59,1285415020,0.3446551263332367,0.6204345226287842,0.23564182221889496,0.6709880232810974,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.879439420998096,27.706452226266265,20.557604448869824,27.772940320894122,33.90399100317154,20.584382000379264,16.908437999518355,15.543213001365075,False,False,-0.05055350065231323
