epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,TotalQRCost,RunMaxComputeTimeMs
0.002,40,1535411295,0.016906902194023132,0.0,0.0,6.775476764887571,46.65662185288966
0.002,41,175223003,-0.09977661818265915,1.0,1.0,7.466694868169725,47.31738590635359
0.002,42,840936862,-0.26147347688674927,1.0,1.0,8.435415907297283,47.66079899854958
0.002,43,343373188,-0.029993077740073204,1.0,1.0,7.065850654966198,47.04527300782502
0.002,44,1597751082,-0.06562581658363342,1.0,1.0,7.536671927315183,47.21061186864972
0.002,45,730359585,-0.10468131303787231,1.0,1.0,7.742357006995007,46.29245214164257
0.002,46,1016641002,0.06381041556596756,0.0,0.0,6.8710153106367216,46.23502888716757
0.002,47,998994690,-0.09123852103948593,1.0,1.0,7.424789882381447,46.02657607756555
0.002,48,1021240743,-0.10700400918722153,1.0,1.0,7.7606948965694755,46.144061954692006
0.002,49,572134801,0.03499113768339157,0.0,0.0,6.559889592579566,46.04583187028766
0.002,50,1198399760,-0.1065441220998764,1.0,1.0,7.481727785198018,46.92740086466074
0.002,51,1751866485,-0.10648202151060104,1.0,1.0,7.726431930204853,46.18381103500724
0.002,52,1070889713,-0.11329149454832077,1.0,1.0,7.457004769821651,45.61103391461074
0.002,53,415096539,-0.04363743215799332,1.0,1.0,6.793295399751514,45.52298481576145
0.002,54,52416235,-0.06918638199567795,1.0,1.0,7.75904358481057,47.937056981027126
0.002,55,278032723,-0.08190912753343582,1.0,1.0,6.848946506506763,45.372118009254336
0.002,56,174946158,0.05270795524120331,0.0,0.0,6.791477950522676,44.69083505682647
0.002,57,196848554,-0.012572367675602436,1.0,1.0,7.065139680635184,45.61842093244195
0.002,58,263030910,-0.07830557972192764,1.0,1.0,6.4867477947846055,45.946344966068864
0.002,59,1285415020,-0.09507949650287628,1.0,1.0,7.452879465185106,45.39854801259935
0.002,60,1733223444,-0.09352472424507141,1.0,1.0,7.56389646185562,45.352831948548555
0.002,61,1835544261,-0.10508465021848679,1.0,1.0,6.8430215392727405,46.61944811232388
0.002,62,1403186970,-0.08155560493469238,1.0,1.0,7.5152215145062655,45.90758983977139
0.002,63,1291971777,-0.092833511531353,1.0,1.0,6.481416733469814,45.81826995126903
0.002,64,712292067,0.04841255024075508,0.0,0.0,7.126511736656539,48.757384065538645
0.002,65,2001429764,-0.08317717909812927,1.0,1.0,7.308329535764642,47.788951778784394
0.002,66,1375664061,0.06206759437918663,0.0,0.0,6.732932083425112,45.6085130572319
0.002,67,1556456120,-0.08421454578638077,1.0,1.0,7.737900956068188,45.92008702456951
0.002,68,1576053187,-0.05410243570804596,1.0,1.0,6.017259453074075,46.10317898914218
0.002,69,1848019881,0.05363411456346512,0.0,0.0,6.718739363946952,46.117027988657355
0.002,70,1508652585,-0.1060522049665451,1.0,1.0,7.508565497817472,46.23907804489136
0.002,71,1995737731,-0.03399739786982536,1.0,1.0,6.025474996306002,46.61064501851797
0.002,72,1162788447,0.07639016956090927,0.0,0.0,6.633662211243063,45.498957158997655
0.002,73,1172925522,0.05930643901228905,0.0,0.0,6.729162471019663,46.17214808240533
0.002,74,539174575,-0.09946594387292862,1.0,1.0,7.526539535145275,45.46504793688655
0.002,75,2013637345,-0.055640142410993576,1.0,1.0,6.202531797112897,45.832294039428234
0.002,76,1187468716,-0.04423854872584343,1.0,1.0,6.566877601784654,46.705109998583794
0.002,77,1062978506,-0.029603326693177223,1.0,1.0,6.934886263916269,46.61335493437946
0.002,78,679326770,-0.30000001192092896,1.0,1.0,8.168299722368829,46.93186585791409
0.002,79,587923432,1.2476659321691841e-05,0.0,0.0,6.948539818054996,46.53108702041209
0.002,80,1359889667,-0.026492830365896225,1.0,1.0,7.094730790471658,46.080472180619836
0.002,81,970187386,-0.05183609202504158,1.0,1.0,6.68525296903681,47.05264396034181
0.002,82,1219839873,-0.04749840497970581,1.0,1.0,6.153155273408629,45.98661488853395
0.002,83,1428160212,0.09598582237958908,0.0,0.0,6.720685812761076,46.49497289210558
0.002,84,1930609499,0.02532397396862507,0.0,0.0,6.732934436760843,47.01225506141782
