Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalTrackingControlCost,TotalQSigmaInvStageCost,TotalQRStageCost,RunMaxComputeTimeMs
RAMPPI,85,0.08021900057792664,0.0,0.0,6.7177781640784815,6.7177781640784815,6.7177781640784815,19.028943963348866
RAMPPI,86,0.04664144665002823,0.0,0.0,6.651353205554187,6.651353205554187,6.651353205554187,20.96841810271144
RAMPPI,87,-0.10630404204130173,1.0,1.0,7.307726735132746,7.307726735132746,7.307726735132746,20.656937966123223
RAMPPI,88,0.0995500460267067,0.0,0.0,6.607246683561243,6.607246683561243,6.607246683561243,31.63385600782931
RAMPPI,89,-0.12657299637794495,1.0,1.0,7.320876109995879,7.320876109995879,7.320876109995879,19.287287024781108
RAMPPI,90,0.13658034801483154,0.0,0.0,6.677671055775136,6.677671055775136,6.677671055775136,24.04973516240716
RAMPPI,91,-0.1252003312110901,1.0,1.0,7.408476365846582,7.408476365846582,7.408476365846582,20.29011002741754
RAMPPI,92,0.036037709563970566,0.0,0.0,6.7256558168446645,6.7256558168446645,6.7256558168446645,19.010586896911263
RAMPPI,93,-0.12719053030014038,1.0,1.0,7.1129762241616845,7.1129762241616845,7.1129762241616845,19.41530592739582
RAMPPI,94,0.07019542902708054,0.0,0.0,6.72989712911658,6.72989712911658,6.72989712911658,19.30739893577993
RAMPPI,95,-0.06080854684114456,1.0,1.0,6.9729509328026325,6.9729509328026325,6.9729509328026325,18.9567890483886
RAMPPI,96,0.03840538486838341,0.0,0.0,7.0280771993566304,7.0280771993566304,7.0280771993566304,18.917570123448968
RAMPPI,97,-0.06322111934423447,1.0,1.0,6.980443939217366,6.980443939217366,6.980443939217366,18.914761021733284
RAMPPI,98,0.08210346102714539,0.0,0.0,6.588084710645489,6.588084710645489,6.588084710645489,23.795746034011245
RAMPPI,99,-0.22230501472949982,1.0,1.0,7.226083418005146,7.226083418005146,7.226083418005146,22.845448926091194
DRMPPI,0,0.3865850865840912,0.0,0.0,7.597931514494121,7.597931514494121,7.597931514494121,19.16565396822989
DRMPPI,1,0.3320555090904236,0.0,0.0,7.928216599859297,7.928216599859297,7.928216599859297,19.298127153888345
DRMPPI,2,0.3965739905834198,0.0,0.0,7.97954152233433,7.97954152233433,7.97954152233433,19.602800952270627
DRMPPI,3,0.42731595039367676,0.0,0.0,7.550779239973053,7.550779239973053,7.550779239973053,19.739611074328423
DRMPPI,4,0.3377608060836792,0.0,0.0,7.6208135288907215,7.6208135288907215,7.6208135288907215,19.48340702801943
DRMPPI,5,1.1671233177185059,0.0,0.0,6.691402685828507,6.691402685828507,6.691402685828507,19.1314029507339
DRMPPI,6,0.31877538561820984,0.0,0.0,7.339566699345596,7.339566699345596,7.339566699345596,19.651463022455573
DRMPPI,7,0.30100545287132263,0.0,0.0,7.5716441221302375,7.5716441221302375,7.5716441221302375,19.612975884228945
DRMPPI,8,0.3157351016998291,0.0,0.0,7.337238484644331,7.337238484644331,7.337238484644331,19.403634127229452
DRMPPI,9,0.3822081685066223,0.0,0.0,7.686727407039143,7.686727407039143,7.686727407039143,20.491765113547444
DRMPPI,10,0.32493194937705994,0.0,0.0,8.089763060910627,8.089763060910627,8.089763060910627,19.33423290029168
DRMPPI,11,0.3561657965183258,0.0,0.0,7.909799809800461,7.909799809800461,7.909799809800461,19.611547933891416
DRMPPI,12,0.44940242171287537,0.0,0.0,7.6596459484426305,7.6596459484426305,7.6596459484426305,19.253004109486938
DRMPPI,13,0.37656155228614807,0.0,0.0,7.6207759050885215,7.6207759050885215,7.6207759050885215,19.11995396949351
DRMPPI,14,0.3246835172176361,0.0,0.0,8.10506521188654,8.10506521188654,8.10506521188654,19.196741981431842
DRMPPI,15,0.3553611636161804,0.0,0.0,7.817272033425979,7.817272033425979,7.817272033425979,25.42477217502892
DRMPPI,16,0.38336649537086487,0.0,0.0,7.513893314870074,7.513893314870074,7.513893314870074,19.423929043114185
